time,epoch,step,loss,rest,state,clean,lr,peak_gb
1784367011.248508,109,180350,0.013083630241453648,0.013083630241453648,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367028.8789165,109,180400,0.012349237687885761,0.012349237687885761,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367046.5437152,109,180450,0.011857923120260239,0.011857923120260239,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367064.244485,109,180500,0.011046516709029675,0.011046516709029675,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367081.9120843,109,180550,0.010359399951994419,0.010359399951994419,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367099.571811,109,180600,0.01323231402784586,0.01323231402784586,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367117.0989795,109,180650,0.014972472563385963,0.014972472563385963,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367134.707969,109,180700,0.010750954039394855,0.010750954039394855,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367152.3211973,109,180750,0.012770529836416245,0.012770529836416245,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367170.1423028,109,180800,0.012319128029048443,0.012319128029048443,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367187.8182278,109,180850,0.010204633697867393,0.010204633697867393,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367205.2771156,109,180900,0.01315244846045971,0.01315244846045971,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367222.898437,109,180950,0.01220112293958664,0.01220112293958664,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367240.7082288,109,181000,0.013090587221086025,0.013090587221086025,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367258.7064567,109,181050,0.010221214964985847,0.010221214964985847,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367276.3350568,109,181100,0.011386687867343426,0.011386687867343426,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367293.9641058,109,181150,0.014625693671405315,0.014625693671405315,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367311.6031344,109,181200,0.01487793680280447,0.01487793680280447,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367329.4431245,109,181250,0.018178272992372513,0.018178272992372513,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367347.0316017,109,181300,0.014619872905313969,0.014619872905313969,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367364.6594343,109,181350,0.011769955977797508,0.011769955977797508,0.0,0.0,0.00014011015349327187,20.501578330993652
1784367411.7935019,110,181400,0.01027325913310051,0.01027325913310051,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367429.3506541,110,181450,0.012965640053153038,0.012965640053153038,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367446.9327476,110,181500,0.009970263577997684,0.009970263577997684,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367464.520489,110,181550,0.015389243140816689,0.015389243140816689,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367482.1095483,110,181600,0.014503772370517254,0.014503772370517254,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367499.7029388,110,181650,0.011275808326900005,0.011275808326900005,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367517.302811,110,181700,0.012432796880602837,0.012432796880602837,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367534.9224455,110,181750,0.01063468772917986,0.01063468772917986,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367552.5403202,110,181800,0.011512652970850468,0.011512652970850468,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367570.1612196,110,181850,0.014209278859198093,0.014209278859198093,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367587.78448,110,181900,0.010960926301777363,0.010960926301777363,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367605.4150708,110,181950,0.012519274838268757,0.012519274838268757,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367623.2836485,110,182000,0.012771928682923317,0.012771928682923317,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367641.2794337,110,182050,0.012334086000919342,0.012334086000919342,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367658.9133291,110,182100,0.013729408383369446,0.013729408383369446,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367676.532341,110,182150,0.01271161437034607,0.01271161437034607,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367694.1502898,110,182200,0.01077073160558939,0.01077073160558939,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367711.7804084,110,182250,0.01174650527536869,0.01174650527536869,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367729.3819253,110,182300,0.013344839215278625,0.013344839215278625,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367746.9939246,110,182350,0.012203237973153591,0.012203237973153591,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367764.619773,110,182400,0.01319967396557331,0.01319967396557331,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367782.2379465,110,182450,0.012739147059619427,0.012739147059619427,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367799.857565,110,182500,0.014136775396764278,0.014136775396764278,0.0,0.0,0.00013897858732926793,20.501578330993652
1784367818.9814622,111,182550,0.012667912989854813,0.012667912989854813,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367836.6044688,111,182600,0.009744442068040371,0.009744442068040371,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367854.2315688,111,182650,0.011342163197696209,0.011342163197696209,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367871.8567176,111,182700,0.012985341250896454,0.012985341250896454,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367889.471387,111,182750,0.01440161932259798,0.01440161932259798,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367907.0970964,111,182800,0.012615456245839596,0.012615456245839596,0.0,0.0,0.00013784110500423104,20.501578330993652
1784367924.7137635,111,182850,0.013721519149839878,0.013721519149839878,0.0,0.0,0.00013784110500423104,20.501578330993652
