task,name,psnr,ssim
denoise50,0065,25.976491400602274,0.6951003074645996
denoise50,0066,27.6264548721924,0.787418782711029
denoise50,0067,25.065102071014383,0.831852376461029
derain,1,37.46511827346635,0.9789794087409973
derain,10,38.57912941780095,0.9865198135375977
derain,100,33.50711063335824,0.9623343348503113
derain,11,37.01406490599765,0.9698996543884277
derain,12,38.5103506404075,0.9811738133430481
derain,13,39.92449946374879,0.9809713363647461
derain,14,38.52190934083782,0.9809446334838867
derain,15,40.17993836862908,0.9754319787025452
derain,16,33.49104102007753,0.9726755023002625
derain,17,42.66460821592409,0.9901807904243469
derain,18,40.447798212284084,0.9767234921455383
derain,19,34.43784890458909,0.9720878601074219
derain,2,37.81629034215809,0.9629769921302795
derain,20,36.80750954496774,0.9788476824760437
derain,21,40.413705552162085,0.9852201342582703
derain,22,37.34033344201955,0.9820383191108704
derain,23,39.41832874516754,0.981960117816925
derain,24,22.75355279790993,0.9263213276863098
derain,25,32.35609633903451,0.9607958793640137
derain,26,36.23220496600102,0.9856846332550049
derain,27,37.501748531877276,0.9819309711456299
derain,28,31.063654461806173,0.9735588431358337
derain,29,41.66336136813392,0.985974133014679
derain,3,40.16979775433082,0.9947526454925537
derain,30,38.48716363527076,0.9825735688209534
derain,31,41.142347887818616,0.9923407435417175
derain,32,40.00767946857521,0.9835426807403564
derain,33,39.23219360329082,0.9853296279907227
derain,34,35.280144987011724,0.9732336401939392
derain,35,36.05517287703483,0.9631171822547913
derain,36,39.27234399290862,0.9851527214050293
derain,37,34.90270395962014,0.9728579521179199
derain,38,39.34367205556291,0.9894692897796631
derain,39,37.836301412867556,0.9855225682258606
derain,4,39.56891571348278,0.994425356388092
derain,40,38.50964255400173,0.9824972152709961
derain,41,35.98325239127838,0.9759860038757324
derain,42,35.26749791853202,0.9718042016029358
derain,43,39.341829708807865,0.9851399064064026
derain,44,36.59481652567762,0.9853515028953552
derain,45,39.976331284551456,0.9926699995994568
derain,46,36.71200303666191,0.9884266257286072
derain,47,38.04558427492748,0.9791294932365417
derain,48,38.88233484660435,0.9774093627929688
derain,49,38.1516030353611,0.9828284382820129
derain,5,37.860435349047926,0.9703798294067383
derain,50,42.39671897270951,0.9858953356742859
derain,51,33.25725575320371,0.9756278395652771
derain,52,38.09637270359408,0.9745328426361084
derain,53,34.07236258644877,0.963486909866333
derain,54,43.082602925463725,0.9930881857872009
derain,55,31.857173445808673,0.9642283320426941
derain,56,34.89835134351996,0.9683383107185364
derain,57,34.47441964386218,0.9727620482444763
derain,58,34.604492420182176,0.9716646075248718
derain,59,34.15531194394368,0.9783701300621033
derain,6,34.59412862921058,0.9731709957122803
derain,60,42.936552800315795,0.9893048405647278
derain,61,34.29999804938609,0.9628570675849915
derain,62,37.623214592964295,0.9803967475891113
derain,63,34.6581956712494,0.9785661697387695
derain,64,38.749418304556,0.9732314944267273
derain,65,32.00188371643589,0.9658070206642151
derain,66,41.42757203754161,0.9833745956420898
derain,67,36.746945984022595,0.984130322933197
derain,68,38.7962279029907,0.9851943850517273
derain,69,38.36425464499514,0.9859458804130554
derain,7,34.48185376004143,0.9620566964149475
derain,70,37.41373137082002,0.9794518947601318
derain,71,38.16476907153123,0.9769530892372131
derain,72,47.54995922852515,0.9942802786827087
derain,73,35.16232229683788,0.9680665135383606
derain,74,42.0289725836482,0.9908166527748108
derain,75,34.752559450183824,0.9752180576324463
derain,76,35.20677433078977,0.9732778668403625
derain,77,37.98975419717247,0.9844872355461121
derain,78,43.67796502993069,0.9827257990837097
derain,79,40.7634818653493,0.9782793521881104
derain,8,36.372798412184245,0.9672134518623352
derain,80,41.056816380129966,0.986212432384491
derain,81,40.545692743769244,0.9942951798439026
derain,82,35.49125734686291,0.9839176535606384
derain,83,41.08628295746392,0.9814023971557617
derain,84,33.53879291091151,0.9768931269645691
derain,85,34.30883113283216,0.9902739524841309
derain,86,37.853231653551774,0.9872312545776367
derain,87,36.02978781495602,0.9749440550804138
derain,88,37.03368880430818,0.9754486083984375
derain,89,43.706825685777495,0.9822425246238708
derain,9,36.79669711285139,0.9827370047569275
derain,90,39.20559308637691,0.9872362017631531
derain,91,37.144094889950175,0.9770865440368652
derain,92,35.36551183033729,0.9860509037971497
derain,93,33.430414948934846,0.9774757027626038
derain,94,36.85406553282749,0.970916748046875
derain,95,36.85486835282533,0.9527761340141296
derain,96,38.832169772171625,0.9802712798118591
derain,97,36.31897953380773,0.9828316569328308
derain,98,42.32270504950459,0.9893724918365479
derain,99,30.788669864199978,0.9723715782165527
dehaze,0001_0.8_0.2,32.951505599348906,0.9891595840454102
dehaze,0002_0.8_0.08,23.174575471102305,0.9513632655143738
